	pex3Δ-1	pex3Δ-2	pex3Δ-3	pex3Δmsp1Δ-1	pex3Δmsp1Δ-2	pex3Δmsp1Δ-3	log$_2$(Fold Change)	p-val	padj	-log$_1$$_0$(p-value)	Cohen's $\mathit{d}$
TRP4	598.363	699.569	686.076	625.698	700.409	665.788	0.005723756697598704	0.9486674370158326	0.999944336130877	0.022886006309848016	0.0559384481492317
SPC110	501.197	331.504	339.529	397.349	299.228	347.462	-0.16708006004846254	0.529291046173542	0.999944336130877	0.27630545275030305	0.5617243343253258
GGA1	2782.21	2617.44	2983.17	2828.47	2593.38	3175.02	0.03637583882993528	0.7384326829514367	0.999944336130877	0.13168908972951215	0.29230966755242055
EAF1	65.354	36.3533	43.7358	64.4772	48.206	68.7968	0.3193557099712403	0.3253887256115826	0.999944336130877	0.48759749900058363	0.9145389484247239
BCP1	242.571	218.03	229.544	215.311	233.398	247.993	0.013642199711278261	0.8622401131403868	0.999944336130877	0.06437177676131471	0.15104118680870957
TFC6	245.79	123.246	146.227	316.363	174.584	203.387	0.430320819572748	0.3565554917843041	0.999944336130877	0.4478728700189675	0.850175050614837
ESC2	108.441	194.125	173.341	147.836	165.527	136.511	-0.08115868463732501	0.7652598305242081	0.999944336130877	0.11619108274990812	0.26096143063736343
ESF1	54.752	20.484	26.9822	33.4219	30.4105	22.8012	-0.23865351784514066	0.6606016326201002	0.999944336130877	0.18006035732183076	0.38653616844961713
KEI1	211.915	219.378	182.794	225.566	201.973	136.33	-0.12308303243173203	0.5939343303132947	0.999944336130877	0.2262615711117263	0.47234618637776254
YPR1	2439.24	2131.98	2674.28	2416.85	2541.32	2447.59	0.031562545327884405	0.7572890271437508	0.999944336130877	0.12073833590672807	0.2702242777747748
CTS2	699.322	1040.0	852.821	854.93	985.282	1115.12	0.18917490173683085	0.3837557959107511	0.999944336130877	0.4159450522625136	0.7979654354396415
VPS74	1548.82	1027.86	1230.03	1320.05	1130.51	1132.79	-0.08723570357197788	0.6736203424210566	0.999944336130877	0.1715848062058303	0.37038250362918934
FRQ1	1038.1	1160.11	1117.51	1200.02	1126.69	1141.84	0.06501049969163149	0.2934963379236152	0.999944336130877	0.5323973132561908	0.9865307957599732
BCS1	3086.75	2858.09	3384.84	3763.56	2252.81	4052.71	0.11003236817766084	0.6920081093604205	0.999944336130877	0.1598888161937527	0.3478550672913117
ARH1	7139.01	7406.82	7293.45	7225.02	7006.24	6575.44	-0.06987712629418774	0.1700700867416964	0.999944336130877	0.7693720667839257	1.3642486590678407
ATP17	8856.49	5003.43	4112.87	5573.98	4595.71	6144.62	-0.13967641136261835	0.7351984439953305	0.999944336130877	0.13359542077993872	0.29612339804773036
LSM6	215.109	166.532	250.94	258.503	229.789	203.545	0.12918194808633202	0.535282761302661	0.999944336130877	0.2714167427770051	0.553131956335674
YDR379C-A	768.884	620.464	355.439	518.526	630.949	354.428	-0.2143394080892006	0.6095989176336745	0.999944336130877	0.21495581277432843	0.4516722655654441
RGA2	986.83	570.197	393.071	543.1	551.559	407.7	-0.376317029931152	0.45837948582769417	0.999944336130877	0.33877482688532146	0.6693454007140602
ARO10	3226.64	4320.13	4742.91	3731.26	4431.98	4406.54	0.03251204835280043	0.8627676876613141	0.999944336130877	0.06410612844335487	0.15045452177595073
