	pex19_1	pex19_2	pex19msp1_1	pex19msp1_2	pex3_1	pex3_2	pex3_3	pex3msp1_1	pex3msp1_2	pex3msp1_3
YBR096W	11.6568	6.94402	9.40535	6.84009	11.5449	11.0326	10.3474	10.6854	9.76001	11.7834
VPS15	12.7123	4.81644	9.19871	5.41606	10.4283	11.1395	12.9683	10.7993	11.4402	11.081
FES1	10.5787	4.04866	8.05437	6.33367	12.7652	12.048	10.9044	11.7536	14.4988	9.01452
EXO84	10.6549	8.01443	15.5834	8.57343	11.2804	11.7404	8.66807	9.00368	9.89877	6.58259
SIF2	11.5059	7.08703	10.1962	8.11211	13.4207	11.4513	7.14947	12.1511	11.0587	7.86747
YMC2	9.515	16.9614	9.31869	12.5935	7.39704	8.89871	8.24102	9.5881	7.36803	10.1185
PHO88	10.4847	6.93558	8.61228	7.42122	13.1871	11.1948	10.5069	11.0703	11.043	9.54428
AIM3	15.9663	5.06212	9.02324	4.62074	18.2635	9.60961	7.98604	11.6147	9.0605	8.79323
CMD1	8.10646	7.7803	11.4724	10.5829	15.3888	12.1359	4.34577	9.56593	13.9161	6.70546
ALG1	10.8928	6.71594	9.79609	7.95111	10.0144	11.7403	11.4237	10.2001	11.6507	9.61485
YSA1	9.69134	10.0655	9.5454	9.06319	8.88132	9.71995	10.9536	10.6457	10.4429	10.9911
CYC8	8.30408	9.9319	4.90813	10.8588	7.7663	26.6458	4.42595	6.40766	14.4399	6.31148
TKL2	14.9942	2.78989	12.3731	4.36976	11.0697	10.3919	12.7524	8.75352	13.6578	8.84771
TEF2	9.81311	5.98767	9.73327	7.15802	10.3211	11.8225	10.3711	11.1982	11.9668	11.6283
CBP6	9.04691	12.5676	7.93917	13.6036	14.0126	9.25616	7.7253	9.96308	7.61574	8.26987
GRS1	11.2873	11.3698	9.98048	9.28314	10.1887	8.75053	10.7156	9.10821	9.49519	9.82101
MRPL36	9.53777	13.8351	10.5646	12.3856	7.5987	7.54789	9.84762	9.26663	7.31086	12.1052
TFC1	9.92618	5.45224	9.27223	6.01197	13.6663	8.5348	8.96779	15.3062	10.3133	12.549
PTC4	9.02571	6.62205	7.59958	8.15467	8.67739	15.1364	9.77108	9.83361	14.0026	11.1769
TPS1	13.2091	4.25972	10.2442	5.57875	9.52087	9.94049	14.6352	10.8525	10.4694	11.2897
VMA2	13.8131	2.79696	7.93047	4.82777	13.2319	8.64396	12.875	13.105	10.0298	12.746
ATG14	12.0503	4.55074	9.21294	6.65297	10.1152	14.652	12.4316	9.91234	10.1528	10.2691
OPY1	9.50845	5.02106	9.86907	6.09687	9.41275	15.43	9.26327	10.5434	15.9908	8.86436
SHE3	12.1182	4.15499	8.34054	4.88177	17.066	10.0549	9.28021	13.726	11.5732	8.80408
AGP2	11.9602	3.1396	7.13952	4.00261	11.2709	7.33269	15.542	11.2674	7.0779	21.2672
HSL7	10.3843	8.73574	12.1502	11.74	9.3997	8.90826	8.56266	11.2265	8.70388	10.1888
CKS1	9.42921	5.89888	7.17086	7.64368	8.69905	13.6833	11.458	11.5558	12.6299	11.8312
MEC1	9.59228	6.56133	11.3498	8.56585	9.40366	10.3547	11.6248	12.2973	8.87504	11.3753
YBR139W	9.27022	13.2707	11.5856	10.4618	9.92043	7.99534	8.25676	8.94464	11.0783	9.21625
IRA1	10.4846	5.57339	12.5391	7.22437	11.6747	11.2278	9.27211	10.7809	10.9757	10.2473
